building_id,bathrooms,bedrooms,created,description,display_address,features,latitude,listing_id,longitude,manager_id,photos,price,street_address,interest_level
0,8286,8286,8286,8286,8286,8286,8286,8286,8286,8286,8286,8286,8286,8286
00005cb939f9986300d987652c933e15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00024d77a43f0606f926e2312513845c,3,3,3,3,3,3,3,3,3,3,3,3,3,3
000ae4b7db298401cdae2b0ba1ea8146,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0012f1955391bca600ec301035b97b65,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0021440c04241281a436ec21accc40b1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
002d1eba40aa0a6610e04ff20543585f,1,1,1,1,1,1,1,1,1,1,1,1,1,1
003d8740e21484dcc2280639b25539a4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00480e54b53fe77d17964be3f8307a99,3,3,3,3,3,3,3,3,3,3,3,3,3,3
00553d95d22484bcc36831c9248d1dbc,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0067f166111490e7af7f1a878a67bb5e,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0071cda335745940cdae1dc31abfc701,6,6,6,6,6,6,6,6,6,6,6,6,6,6
0078c2ab46afba9969637ac83621901e,1,1,1,1,1,1,1,1,1,1,1,1,1,1
007cd8edc45c6cfbcabd88f70d59a513,1,1,1,1,1,1,1,1,1,1,1,1,1,1
008d3e3a11295305966844713b685f7d,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0095cb49c423ec7b204e26d76c56bd35,1,1,1,1,1,1,1,1,1,1,1,1,1,1
009f494b0636f32b96b41926ec7c4bf2,18,18,18,18,18,18,18,18,18,18,18,18,18,18
00a94a38fcda000b4448370839a25ac8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00b2da856a75f0f5690996b0a0b1f397,4,4,4,4,4,4,4,4,4,4,4,4,4,4
00bafd8e05682a7c7e36b4046acd0f1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00cca782a37fc2bb91b080ede56fa7cf,2,2,2,2,2,2,2,2,2,2,2,2,2,2
00e3e6bb0d19bb601842c0ab9589f9a2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00e8bbc4c74980a06c187165d9a5869e,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00ecc203c49a4651cf186de65f308ac1,6,6,6,6,6,6,6,6,6,6,6,6,6,6
00fdda7f129d05ab200c31c0c6de8dfd,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0103d0d57f197a73cdfd0f2f26870d74,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0106f282d2dfe616303b86e5b68df6b4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0117976b081298aea99e21c327ab25a4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
011a3c781df937c2991a3832b547b158,3,3,3,3,3,3,3,3,3,3,3,3,3,3
01298c8fd1e6e332fb4c188a7183a206,1,1,1,1,1,1,1,1,1,1,1,1,1,1
012fcf2833e0e07897b682ab6f82be3b,8,8,8,8,8,8,8,8,8,8,8,8,8,8
013a96b772f0e46731faee50ad25d727,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01401bc9a8908b2d6ffa84ebf9e1b984,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0155fa9629c4d68dbe9106b9ac3866ad,1,1,1,1,1,1,1,1,1,1,1,1,1,1
015901f6966b695aec0bda32e36423d6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
