display_address,bathrooms,bedrooms,building_id,created,description,features,latitude,listing_id,longitude,manager_id,photos,price,street_address,interest_level
,135,135,135,135,135,135,135,135,135,135,135,135,135,135
	East 10th Street and East 11th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
	Washington Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 ,2,2,2,2,2,2,2,2,2,2,2,2,2,2
  Allen street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"  Hell's Kitchen, Midtown  West ",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"  Hell's Kitchen, Midtown West",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"  Hell's Kitchen, Midtown West ",4,4,4,4,4,4,4,4,4,4,4,4,4,4
 11th Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 17th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 1st Ave.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 1st ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 236th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 2nd Ave.,3,3,3,3,3,3,3,3,3,3,3,3,3,3
 2nd Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 2nd ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 30th Ave.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 30th Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 32nd St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 330 east 30th street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 38th St.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 42nd Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 485 AMSTERDAM AVENUE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 506 east 11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 5th Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 67th Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 7th Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 88th street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 9 ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 9th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Amsterdam Ave.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Avenue B,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Avenue C ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 BRAND NEW SS ATTRACTIVE PRIME LOCATED,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Bainbridge Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Bennett Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Bluff Road,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Broadway ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Broadway Terrace,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Broome St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Center Boulevard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Central Park,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Charles St.,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Cheever Place,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Chelsea,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 Christopher Street,2,2,2,2,2,2,2,2,2,2,2,2,2,2
 Christopher street NO FEE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
