latitude,bathrooms,bedrooms,building_id,created,description,display_address,features,listing_id,longitude,manager_id,photos,price,street_address,interest_level
0.0,12,12,12,12,12,12,12,12,12,12,12,12,12,12
34.0126,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39.7996,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39.8395,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.045,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.1159,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5065,4,4,4,4,4,4,4,4,4,4,4,4,4,4
40.5494,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5712,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5757,4,4,4,4,4,4,4,4,4,4,4,4,4,4
40.5758,18,18,18,18,18,18,18,18,18,18,18,18,18,18
40.576,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5765,11,11,11,11,11,11,11,11,11,11,11,11,11,11
40.5768,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5772,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5776,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40.5782,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40.5783,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5784,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.579,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5795,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40.5796,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5806,11,11,11,11,11,11,11,11,11,11,11,11,11,11
40.5813,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5836,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40.5837,5,5,5,5,5,5,5,5,5,5,5,5,5,5
40.5838,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5839,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.584,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5841,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40.5843,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5844,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5845,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40.5847,4,4,4,4,4,4,4,4,4,4,4,4,4,4
40.5853,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5854,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40.5856,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.586,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5863,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5869,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5871,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5872,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5873,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5874,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5886,3,3,3,3,3,3,3,3,3,3,3,3,3,3
40.5896,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.5904,3,3,3,3,3,3,3,3,3,3,3,3,3,3
