listing_id,bathrooms,bedrooms,building_id,created,description,display_address,features,latitude,longitude,manager_id,photos,price,street_address,interest_level
6811957,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6811965,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6811966,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6811973,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6811975,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812002,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812004,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812005,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812009,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812025,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812033,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812048,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812054,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812061,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812062,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812064,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812083,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812086,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812103,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812107,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812112,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812113,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812120,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812122,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812133,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812142,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812150,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812154,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812160,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812162,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812175,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812179,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812192,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812198,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812201,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812208,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812223,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812233,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812234,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812256,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812258,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812275,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6812282,1,1,1,1,1,1,1,1,1,1,1,1,1,1
