longitude,bathrooms,bedrooms,building_id,created,description,display_address,features,latitude,listing_id,manager_id,photos,price,street_address,interest_level
-118.271,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-93.2705,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-87.6134,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-86.1527,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-76.6336,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-75.5214,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-75.1773,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.6637,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.6267,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.6248,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.5343,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.4708,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.2432,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.2224,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.216,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.2034,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.1626,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.1598,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.1571,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.1215,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.094,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0873,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0852,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0816,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0802,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0759,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0604,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.049,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0482,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0454,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0412,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0396,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0395,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0393,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0391,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0378,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0377,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0371,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0365,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0364,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0362,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.036,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0359,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0358,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0357,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0352,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0348,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0346,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0345,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0344,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.034,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0339,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0336,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0334,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0329,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0327,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0323,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0322,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0321,6,6,6,6,6,6,6,6,6,6,6,6,6,6
-74.032,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0319,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0318,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0315,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.0312,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0311,6,6,6,6,6,6,6,6,6,6,6,6,6,6
-74.0309,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0308,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0307,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0304,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.0303,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0302,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.03,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0299,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0296,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0295,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0294,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0293,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0284,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0282,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0272,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0271,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0269,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0264,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0262,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0259,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0258,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0257,12,12,12,12,12,12,12,12,12,12,12,12,12,12
-74.0254,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0249,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0248,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0247,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0246,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0244,5,5,5,5,5,5,5,5,5,5,5,5,5,5
-74.0243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0242,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0241,5,5,5,5,5,5,5,5,5,5,5,5,5,5
-74.024,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0238,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0237,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0233,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0232,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0231,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0228,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0226,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0225,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0224,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0221,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.022,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0219,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0217,5,5,5,5,5,5,5,5,5,5,5,5,5,5
-74.0214,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0213,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0212,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0211,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0205,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0204,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0203,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0202,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0193,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0187,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0186,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0185,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0184,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0183,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0182,12,12,12,12,12,12,12,12,12,12,12,12,12,12
-74.0181,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.018,36,36,36,36,36,36,36,36,36,36,36,36,36,36
-74.0179,9,9,9,9,9,9,9,9,9,9,9,9,9,9
-74.0178,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0176,12,12,12,12,12,12,12,12,12,12,12,12,12,12
-74.0175,13,13,13,13,13,13,13,13,13,13,13,13,13,13
-74.0174,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0173,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.0172,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0171,3,3,3,3,3,3,3,3,3,3,3,3,3,3
-74.017,6,6,6,6,6,6,6,6,6,6,6,6,6,6
-74.0169,8,8,8,8,8,8,8,8,8,8,8,8,8,8
-74.0168,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-74.0167,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-74.0166,12,12,12,12,12,12,12,12,12,12,12,12,12,12
-74.0165,28,28,28,28,28,28,28,28,28,28,28,28,28,28
-74.0164,4,4,4,4,4,4,4,4,4,4,4,4,4,4
-74.0163,11,11,11,11,11,11,11,11,11,11,11,11,11,11
-74.0162,156,156,156,156,156,156,156,156,156,156,156,156,156,156
