photos_count,bathrooms,bedrooms,building_id,created,description,display_address,features,latitude,listing_id,longitude,manager_id,photos,price,street_address,interest_level,features_count
0,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615,3615
1,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178
2,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334
3,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553
4,7887,7887,7887,7887,7887,7887,7887,7887,7887,7887,7887,7887,7887,7887,7887,7887
5,8733,8733,8733,8733,8733,8733,8733,8733,8733,8733,8733,8733,8733,8733,8733,8733
6,6739,6739,6739,6739,6739,6739,6739,6739,6739,6739,6739,6739,6739,6739,6739,6739
7,4952,4952,4952,4952,4952,4952,4952,4952,4952,4952,4952,4952,4952,4952,4952,4952
8,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972,3972
9,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772,1772
10,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390,1390
11,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784
12,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816
13,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377
14,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232
15,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
16,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
17,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
18,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
19,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
20,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
22,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
24,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
25,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
26,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
27,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
28,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
34,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
35,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
37,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
38,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
