price,bathrooms,bedrooms,building_id,created,description,display_address,features,latitude,listing_id,longitude,manager_id,photos,street_address,interest_level
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1,1,1,1,1
401,1,1,1,1,1,1,1,1,1,1,1,1,1,1
695,4,4,4,4,4,4,4,4,4,4,4,4,4,4
700,1,1,1,1,1,1,1,1,1,1,1,1,1,1
800,1,1,1,1,1,1,1,1,1,1,1,1,1,1
868,1,1,1,1,1,1,1,1,1,1,1,1,1,1
950,3,3,3,3,3,3,3,3,3,3,3,3,3,3
975,1,1,1,1,1,1,1,1,1,1,1,1,1,1
980,1,1,1,1,1,1,1,1,1,1,1,1,1,1
999,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1000,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1025,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1034,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1048,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1050,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1095,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1100,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1150,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1165,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1175,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1195,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1200,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1225,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1243,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1244,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1250,22,22,22,22,22,22,22,22,22,22,22,22,22,22
1275,18,18,18,18,18,18,18,18,18,18,18,18,18,18
1295,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1300,47,47,47,47,47,47,47,47,47,47,47,47,47,47
1310,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1325,12,12,12,12,12,12,12,12,12,12,12,12,12,12
1345,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1347,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1349,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1350,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1351,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1370,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1375,21,21,21,21,21,21,21,21,21,21,21,21,21,21
1395,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1400,90,90,90,90,90,90,90,90,90,90,90,90,90,90
1404,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1420,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1425,19,19,19,19,19,19,19,19,19,19,19,19,19,19
1427,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1430,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1435,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1449,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1450,92,92,92,92,92,92,92,92,92,92,92,92,92,92
1455,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1460,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1466,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1470,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1475,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1485,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1489,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1495,27,27,27,27,27,27,27,27,27,27,27,27,27,27
1499,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1500,160,160,160,160,160,160,160,160,160,160,160,160,160,160
1503,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1512,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1515,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1516,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1524,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1525,26,26,26,26,26,26,26,26,26,26,26,26,26,26
1530,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1540,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1545,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1549,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1550,154,154,154,154,154,154,154,154,154,154,154,154,154,154
1558,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1559,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1560,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1565,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1569,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1570,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1575,36,36,36,36,36,36,36,36,36,36,36,36,36,36
1580,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1585,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1590,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1595,33,33,33,33,33,33,33,33,33,33,33,33,33,33
1597,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1599,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1600,128,128,128,128,128,128,128,128,128,128,128,128,128,128
1601,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1604,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1605,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1625,45,45,45,45,45,45,45,45,45,45,45,45,45,45
1626,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1629,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1640,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1645,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1649,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1650,168,168,168,168,168,168,168,168,168,168,168,168,168,168
1660,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1662,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1663,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1670,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1675,54,54,54,54,54,54,54,54,54,54,54,54,54,54
1685,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1690,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1695,108,108,108,108,108,108,108,108,108,108,108,108,108,108
1699,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1700,207,207,207,207,207,207,207,207,207,207,207,207,207,207
1701,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1710,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1720,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1724,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1725,55,55,55,55,55,55,55,55,55,55,55,55,55,55
1730,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1733,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1735,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1739,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1745,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1750,232,232,232,232,232,232,232,232,232,232,232,232,232,232
1755,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1756,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1759,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1760,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1763,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1765,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1770,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1775,64,64,64,64,64,64,64,64,64,64,64,64,64,64
1779,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1780,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1785,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1787,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1789,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1790,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1792,1,1,1,1,1,1,1,1,1,1,1,1,1,1
