street_address,bathrooms,bedrooms,building_id,created,description,display_address,features,latitude,listing_id,longitude,manager_id,photos,price,interest_level
,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"	100 Jane Street, Apt. 7-D",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	100 West 26th Street, Apt. 23-F",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	101 West End Avenue, Apt. 24-G",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	105 West 29th Street, Apt. 47-E",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	11 West 8th Street, Apt. 3-A",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	118 Christopher Street, Apt. 8",2,2,2,2,2,2,2,2,2,2,2,2,2,2
"	120 West 21st Street, Apt. 601",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	121 Madison Avenue, Apt. 12-E",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	150 East 39th Street, Apt. 1002",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	150 East 57th Street, Apt. 11-B",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	247 West 87th Street, Apt. 4-C",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	25 Thompson Street, Apt. 15",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	26 Thompson Street, Apt. 5-D",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	295 Park Avenue South, Apt. 16-M",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	30 West 18th Street, Apt. 15-D",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	300 East 39th Street, Apt. 15-H",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	320 East 46th Street, Apt. 8-E",1,1,1,1,1,1,1,1,1,1,1,1,1,1
	338 W 77th St #4A (West End Ave & Riverside Dr) Upper West Side	,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	401 East 34th Street, Apt. S-11K",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	55 West 14th Street, Apt. 2-N",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	600 Washington Street, Apt. 305",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	600 Washington Street, Apt. 404",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	77 West 24th Street, Apt. 20-E",1,1,1,1,1,1,1,1,1,1,1,1,1,1
 154 W 92,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 1605 Second Avenue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 22-05 37th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 23 E 109,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 30 Park Ter E #2F,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 340 east 30th street ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 372 Eighth Ave,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 411 East 118th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 45-35 44th Street,1,1,1,1,1,1,1,1,1,1,1,1,1,1
